Tidspunkt;CAN-ID;Desc;Value
2025-06-21T17:58:08.9951700+02:00;200;Status4;0
2026-02-19T14:51:05.461907;999;FuelLevel;99
2025-06-21T17:58:08.9951700+02:00;200;Status5;0
2026-02-19T14:51:06.461907;999;FuelLevel;99
2025-06-21T17:58:08.9951700+02:00;200;Status6;1
2026-02-19T14:51:07.461907;999;FuelLevel;99
2025-06-21T17:58:08.9951700+02:00;200;Status7;1
2026-02-19T14:51:08.461907;999;FuelLevel;99
2025-06-21T17:58:08.9951700+02:00;204;Latitude;59,3073616
2026-02-19T14:51:09.461907;999;FuelLevel;99
2025-06-21T17:58:08.9951700+02:00;204;Longitude;4,865470409
2026-02-19T14:51:10.461907;999;FuelLevel;99
2025-06-21T17:58:08.9951700+02:00;201;Time;175809
2026-02-19T14:51:11.461907;999;FuelLevel;99
2025-06-21T17:58:08.9951700+02:00;201;Date;20250621
2026-02-19T14:51:12.461907;999;FuelLevel;99
2025-06-21T17:58:09.0415190+02:00;300;IsRunning;TRUE
2026-02-19T14:51:13.461907;999;FuelLevel;99
2025-06-21T17:58:09.0415190+02:00;300;IsFrozen;FALSE
2026-02-19T14:51:14.461907;999;FuelLevel;99
2025-06-21T17:58:09.0415190+02:00;300;IsNode;FALSE
2026-02-19T14:51:15.461907;999;FuelLevel;99
2025-06-21T17:58:09.0415190+02:00;300;IsCanRxFull;FALSE
2026-02-19T14:51:16.461907;999;FuelLevel;99
2025-06-21T17:58:09.0415190+02:00;300;IsCanTxFull;FALSE
2026-02-19T14:51:17.461907;999;FuelLevel;99
2025-06-21T17:58:09.0415190+02:00;300;IsSerialTxFull;FALSE
2026-02-19T14:51:18.461907;999;FuelLevel;99
2025-06-21T17:58:09.0415190+02:00;300;IsSerialRxFull;FALSE
2026-02-19T14:51:19.461907;999;FuelLevel;99
2025-06-21T17:58:09.0415190+02:00;300;LostPackages;0
2026-02-19T14:51:20.461907;999;FuelLevel;99
2025-06-21T17:58:09.0415190+02:00;300;TimeSinceBoot;7182
2026-02-19T14:51:21.461907;999;FuelLevel;99
2025-06-21T17:58:09.0415190+02:00;301;SNR;6
2026-02-19T14:51:22.461907;999;FuelLevel;99
2025-06-21T17:58:09.0415190+02:00;301;RSSI;-74
2026-02-19T14:51:23.461907;999;FuelLevel;99
2025-06-21T17:58:09.0415190+02:00;303;CanRx;0
2026-02-19T14:51:24.461907;999;FuelLevel;99
2025-06-21T17:58:09.0415190+02:00;303;CanTx;0
2026-02-19T14:51:25.461907;999;FuelLevel;98
2025-06-21T17:58:09.0415190+02:00;303;SerialRx;0
2026-02-19T14:51:26.461907;999;FuelLevel;98
2025-06-21T17:58:09.0415190+02:00;303;SerialTx;0
2026-02-19T14:51:27.461907;999;FuelLevel;98
2025-06-21T17:58:09.0415190+02:00;302;downlink;746362
2026-02-19T14:51:28.461907;999;FuelLevel;98
2025-06-21T17:58:09.0415190+02:00;302;uplink;746362
2026-02-19T14:51:29.461907;999;FuelLevel;98
2025-06-21T17:58:09.0569680+02:00;203;Altitude;24,05846214
2026-02-19T14:51:30.461907;999;FuelLevel;98
2025-06-21T17:58:09.0569680+02:00;203;Climbrate;0,135865003
2026-02-19T14:51:31.461907;999;FuelLevel;98
2025-06-21T17:58:09.0569680+02:00;202;Roll;34
